,teks,tipe
359,Hujan turun bulan Januari \n Membuat banjir di sekitaran \n Mari belajar sepanjang hari \n Dari buaian hingga kuburan,Pantun Pendidikan
360,Jalan-jalan di Kota Blitar \n Jangan lupa membeli sukun \n Jikalau Kamu ingin pintar \n Belajarlah dengan tekun,Pantun Pendidikan
361,Jangan pakai baju merah \n Warna merah banteng suka \n Jangan suka marah-marah \n Marah itu banyak ruginya,Pantun Pendidikan
362,Jangan remehkan burung hantu \n Sebab burung pun bisa memekik \n Janganlah sombong jika berilmu \n Sebab hal itu tidaklah baik,Pantun Pendidikan
363,Jauh rezeki tak perlu dipikirkan \n Bekerja dan berdoa pada Tuhan \n Apabila pendidikan disingkirkan \n Bersiap hadapi kesulitan,Pantun Pendidikan
364,Jika akan datang melamar \n Jangan banyak tulis dihapus \n Pabila siswa rajin belajar \n Sudah pasti akan lulus,Pantun Pendidikan
365,Jika Kamu hendak beli bubur \n Belinya saat siang \n Jika Kamu orang yang jujur \n Banyak orang yang akan sayang,Pantun Pendidikan
366,Jikalau Kamu bertemu Agung \n Sampaikan salamku padanya \n Kalau nanti Kamu bingung \n Tanyakan langsung pada ahlinya,Pantun Pendidikan
367,Jikalau sungai semakin meriak \n Air pun mengalir sampai lautan \n Sesudah dapat ilmu banyak \n Jangan lupa ajarkan juga amalkan,Pantun Pendidikan
368,Kalau harimau sedang mengaum \n Bunyinya sangat berirama \n Kalau ada ulangan umum \n Marilah kita belajar bersama,Pantun Pendidikan
369,Kalau Kamu pergi ke dusun \n Jangan lupa membawa beras \n Belajarlah secara tekun \n Supaya Kamu naik kelas,Pantun Pendidikan
370,Ladang sawah selalu digarap \n Pak Tani dapatkan untung \n Cinta Allah selalu diharap \n dari murka-Nya kita berlindung,Pantun Pendidikan
371,Langit membentang berwarna biru \n Langit dan laut tak akan bertemu \n Hormati olehmu seorang guru \n Mereka jadi sumber segala ilmu,Pantun Pendidikan
372,Malam hari membakar ikan \n Meniti kaki pada semaian \n ketekunan tidak dapat digantikan \n Sekalipun dilakukan oleh kepandaian,Pantun Pendidikan
373,"Mawar merah, mawar putih \n Tumbuh berkembang setinggi kaki \n Jangan mudah Kamu marah \n Niscaya akan seret rezeki",Pantun Pendidikan
374,Memang jauh negeri Arab \n Tempat tinggal bagi kerabat \n Kepada Allah kita berharap \n Mendapat ampunan dan juga rahmat,Pantun Pendidikan
375,Mendapat rusa belang di kaki \n Rusanya makan daun suji \n Hendaklah Kamu memiliki \n Segenap akhlak baik terpuji,Pantun Pendidikan
376,Merah warna buah tomat \n Membuat sayur jadi nikmat \n Mari kita mencari sahabat \n Supaya hidup punya manfaat,Pantun Pendidikan
377,Orang bijak suka pada bahasa \n Bahasa luas bahasa masyarakat \n Bahasa adalah identitas Bangsa \n Bangsa terhotmat memiliki martabat,Pantun Pendidikan
378,Pabila pohon harus dipanjat \n Kaki janganlah hingga melompat \n Kalau ingin naik derajat \n Ilmu dan iman haruslah diangkat,Pantun Pendidikan
379,Percuma Kamu punya liontin emas \n Jika emasnya palsu \n Percuma miliki otak cerdas \n Kalau akhlak buruk selalu,Pantun Pendidikan
380,Pergi ke pasar naik delman \n Di pasar bertemu saudagar \n Orang sabar disayang tuhan \n Dibenci Tuhan jika tak sabar,Pantun Pendidikan
381,Petang datang para tamu \n Jauh ada di seberang sama \n Rajinlah Kamu mencari ilmu \n Untuk bekal di hari tua,Pantun Pendidikan
382,Pisau di dapur harus diasah \n Supaya daging dapat dicacah \n Belajar tidak kenal lelah \n Niscaya akan mendapat faedah,Pantun Pendidikan
383,Pohon jati kuat kayunya \n Pohon nyiur batangnya tinggi \n Murid sejati banyak ilmunya \n Untuk bekal di hari nanti,Pantun Pendidikan
384,Pohon menjulang tinggi-tinggi \n Jangan sampai ia ditebang \n Guru mengajarlah sepenuh hati \n Jangan sekadar mencari uang,Pantun Pendidikan
385,Potong bambu dengan dibelah \n Bambu terbelah terkena matahari \n Barang siapa yang malas sekolah \n Akan menyesal di kemudian hari,Pantun Pendidikan
386,Sembilu yang tajam menyayat \n Daun kelapa dibuat ketupat \n Jauhilah segala maksiat \n Ilmu akan masuk dengan cepat,Pantun Pendidikan
387,Senja hari langit warna jingga \n Datang perit lantas membelah \n Berjuanglah jangan menyerah \n Jika begitu tak akan kalah,Pantun Pendidikan
388,Surya tenggelam di ufuk Barat \n Bulan dengan matahari tak bertemu \n Siapa mau mendapat akhirat \n Kejarlah ia dengan ilmu,Pantun Pendidikan
389,Syair indah tersebab rima \n direnungi oleh para petapa \n Ilmu agama adalah utama \n Ilmu dunia tak boleh dilupa,Pantun Pendidikan
390,Tegak rumah ada tiang \n Rumah panggung terdapat kolong \n Sewaktu hidup tak pernah sembahyang \n Masuk neraka tak ada penolong,Pantun Pendidikan
391,Topan badai datang melanda \n Mengiring awan yang gemawan \n Dunia penuh dengan godaan \n Di dalamnya ada banyak tipuan,Pantun Pendidikan
392,Tuang tajin dalam loyang \n Loyangnya bekas ketan \n Jika Kamu rajin sembahyang \n Pasti akan disayang Tuhan,Pantun Pendidikan
393,Warna merah adalah tanda \n masuk sudah waktu senja \n Dengar nasihat wahai ananda \n Pendidikan adalah hal utama,Pantun Pendidikan
394,Ada sebiji roda pedati \n Bentuknya bulat daripada besi \n Bila bermain diikat sekuat hati \n Dilempar hidup dipegang mati?,Pantun Teka-Teki
395,Ada sejenis haiwan perkasa \n Badannya besar bagai gergasi \n Kepada manusia banyak berjasa \n Menarik balak gagah sekali,Pantun Teka-Teki
396,Ada tubuh ada tangan \n Tiada kepala tiada kaki \n Sangat berguna waktu hujan \n Apakah dia yang dimaksudkan ini,Pantun Teka-Teki
397,Anak-anak bermain batu \n Batu dilempar satu per satu \n Badannya lurus bermata satu \n Ekornya tajam apakah itu?,Pantun Teka-Teki
398,Belayar kapal dari lautan \n Menuju arah Selat Malaka \n Lebar kepala daripada badan \n Apakah itu cobalah terka?,Pantun Teka-Teki
399,Belayar perahu dari Bentan \n Menyusur tepi Selat Melaka \n Lebar kepala dari badan \n Apakah ikan cubalah teka?,Pantun Teka-Teki
400,Buah budi bidara mengkal \n Masak sebiji di tepi pantai \n Hilang budi bicara akal \n Buah apa tidak bertangkai?,Pantun Teka-Teki
401,Buah melon buah nangka \n Dijual di pasar buah-buahan \n Coba jawab wahai saudara \n Makin diisi semakin ringan?,Pantun Teka-Teki
402,Budak-budak bermain batu \n Batu dikira satu persatu \n Badannya lurus bermata satu \n Ekornya tajam apakah itu?,Pantun Teka-Teki
403,Budak-budak ramai di pekan \n Hari raya bakar petas \n Kalau tuan pandai berkias \n Apakah buah gugur ke atas?,Pantun Teka-Teki
404,Burung nuri burung dara \n Terbang ke sisi taman kayangan \n Cubalah cari wahai saudara \n Makin diisi makin ringan,Pantun Teka-Teki
405,Burung nuri burung dara \n Terbang ke sisi taman kayangan \n Cubalah teka wahai saudara \n Semakin diisi makin ringan?,Pantun Teka-Teki
406,Cobalah mengerti wahai teman \n Nanti malam aku tidak bisa pergi \n Cobalah tebak wahan kawan \n Tangga apa yang tidak dinaiki,Pantun Teka-Teki
407,Diukur dijangka-jangka \n Burung merak burung angkasa \n Dengar tuan saya meneka \n Layang-layang gagah perkasa,Pantun Teka-Teki
408,"Habis olahraga, tubuh jadi lelah \n Capek badan seperti mau remuk \n Jika kau pintar maka jawablah \n Semakin berisi semakin menunduk?",Pantun Teka-Teki
409,Hidup tenang di dalam desa \n Punya pemimpin jumlahnya satu \n Buruh-buruh rajin bekerja \n Askar bertugas setiap waktu?,Pantun Teka-Teki
410,Ikut upacara pagi hari \n Baris-berbaris dengan teratur \n Suka keluar malam hari \n Kalau siang malah tidur,Pantun Teka-Teki
411,Indah berkembang di Taman Sari \n Cantik dihias sebagai jambangan \n Tangkainya panjang penuh berduri \n Baunya harum tiada bandingan,Pantun Teka-Teki
412,Jalan-jalan ke Ciracas \n Jangan lupa membeli padi \n Jika engkau memang cerdas \n Binatang apa tanduk di kaki?,Pantun Teka-Teki
413,Jalan-jalan ke kota Kediri \n Tidak lupa membawa sisir \n Bentuknya besar terbuat dari besi \n Bisa berjalan di atas air,Pantun Teka-Teki
414,Jalan-jalan ke kota Medan \n Jangan lupa membawa baju \n Kakiku empat tak punya badan \n Coba tebak siapakah aku?,Pantun Teka-Teki
415,Jalan-jalan ke kota Palembang \n Tidak lupa membeli duku \n Punya tiga kaki untuk dua orang \n Coba tebak wahai kawanku,Pantun Teka-Teki
416,Jalan-jalan ke pasar malam \n Naik wahana sampai lelah \n Saat kecil berbaju hitam \n Sudah besar bajunya merah,Pantun Teka-Teki
417,Janganlah kamu suka mengolok \n Bisa-bisa rugi akhirnya \n Ada daun tak punya pokok \n Setiap bangunan memilikinya?,Pantun Teka-Teki
418,Kalau tuan bawa keladi \n Bawakan juga si pucuk rebung \n Kalau tuan bijak bestari \n Binatang apa tanduk di hidung?,Pantun Teka-Teki
419,Kalau tuan muda teruna \n Pakai seluar dengan gayanya \n Kalau tuan bijak laksana \n Biji di luar apa buahnya,Pantun Teka-Teki
420,Kalau tuan muda teruna \n Pakai seluar dengan gayanya \n Kalau tuan bijak laksana \n Biji di luar apa buahnya?,Pantun Teka-Teki
421,Ke sekolah naik sepeda \n Kayuh kencang di jalanan \n Bentuk kotak keluar suara \n Benda apakah itu gerangan?,Pantun Teka-Teki
422,Kelip-kelip kusangka api \n Kalau api mana asapnya? \n Hilang ghaib disangkakan mati \n Kalau mati mana kuburnya?,Pantun Teka-Teki
423,Lihat adik berwajah muram \n Baru jatuh dari sepeda \n Berbentuk kotak berwarna hitam \n Bisa melihat apa saja,Pantun Teka-Teki
424,Main bola sama teman-teman \n Baru selesai saat malam hari \n Kalau panas tidak digunakan \n Kalau hujan dicari-cari,Pantun Teka-Teki
425,Melihat bintang di langit kelam \n Adapun bulan tertutup abu \n Apa binatang darahnya hitam \n Janggut delapan tulangnya satu?,Pantun Teka-Teki
426,Menanam pohon di taman luas \n Taman pun indah berwarna-warni \n Ia termasuk binatang buas \n Janggutnya lebat dan pemberani?,Pantun Teka-Teki
427,Menolong orang tanpa pamrih \n Itulah kebaikan yang sesungguhnya \n Loreng-loreng hitam putih \n Punya empat kaki mirip kuda,Pantun Teka-Teki
428,Merah bunganya tidak terperi \n Mekar kembangnya tidak terkata \n Di halaman rumah jadi penyeri \n Lambang tradisi Negara tercinta,Pantun Teka-Teki
429,Minah ketawa terjerit-jerit \n Melihat koyak pada seluar \n Orang putih duduk sederet \n Pagar di dalam tebing di luar?,Pantun Teka-Teki
430,Mulut manis hati nak baik \n Itulah amalan turun-temurun \n Benda apa yang akan naik \n Apabila saja hujan turun?,Pantun Teka-Teki
431,Naik delman minggu pagi \n Keliling kota di jalanan \n Kota metropolitan ibukota provinsi \n Banyak yang bilang kota pahlawan,Pantun Teka-Teki
432,Negara Afrika tempat asalnya \n Berbadan belang hitam dan putih \n Rumput nan hijau kegemarannya \n Kuat berlari tidak kenal letih,Pantun Teka-Teki
433,Orang bekerja diberikan upah \n Hidangan disaji dalam talam \n Gajah putih ditengah rumah \n Layar terkembang di waktu malam?,Pantun Teka-Teki
434,Pergi ke kota naik angkutan \n Tidak lupa berkunjung ke balai kota \n Punya sisik tapi bukan ikan \n Punya mahkota tapi bukan raja,Pantun Teka-Teki
435,Pergi ke kota naik taksi \n Sambil jalan-jalan keliling kota \n Punya dua sayap terbuat dari besi \n Benda apakah namanya?,Pantun Teka-Teki
436,Pergi ke pasar bareng bibi \n Tidak lupa membeli makanan \n Cuma punya satu kaki \n Tiga warna berganti-gantian,Pantun Teka-Teki
437,Pergi ke pasar membeli garam \n Tidak lupa membeli martabak \n Bajunya loreng hijau hitam \n Badannya tegap bawa tembak,Pantun Teka-Teki
438,Pergi ke pasar membeli nanas \n Tidak lupa membeli semangka \n Bentuknya bulat bikin panas \n Benda apakah namanya?,Pantun Teka-Teki
439,Pergi ke sawah menanam benih \n Tidak lupa cangkul dibawa \n Wajah hitam isinya putih \n Manis rasanya seperti gula?,Pantun Teka-Teki
440,Pergi umrah setiap tahun \n Moga sentiasa murah rezeki \n Dalam batang ada daun \n Dalam daun ada isi,Pantun Teka-Teki
441,Pisau lipat dimainnya kera \n Tangannya luka lalu terjun \n Makan kuat tidak terkira \n Kenyangnya tidak tahi bertimbun?,Pantun Teka-Teki
442,"Pohonnya bulat berdaun rindang \n Asam dan hijau ketika muda \n Bentuknya ia seperti bintang \n Jikapun masak, kuninglah ia?",Pantun Teka-Teki
443,Sawah luas sungguh indahnya \n Banyak ditemui di pedesaan \n Punya ekor ditaruh kepala \n Hewan apakah gerangan?,Pantun Teka-Teki
444,Sore-sore lagi main bola \n Tidak lupa ajak teman-teman \n Ditusuk-tusuk tapi banyak yang suka \n Kira-kira apakah gerangan?,Pantun Teka-Teki
445,Tempat duduknya sangatlah tinggi \n Namun ia bernasib malang \n Bila malam ia berseri \n Jika siang ia menghilang?,Pantun Teka-Teki
446,Tuan puteri belajar menari \n Tari diajar oleh Pak Harun \n Kalau Tuan bijak bestari \n Apa yang naik tak pernah turun?,Pantun Teka-Teki
447,Walau dibungkus bukan kiriman \n Sudah takdir tuhan yang satu \n Meski ditanam bukan tanaman \n Cubalah teka apakah itu?,Pantun Teka-Teki
448,Jalan-jalan keliling desa \n Tidak lupa membeli papan \n Hari minggu telah tiba \n Ayo main dengan teman-teman,Pantun Anak-anak
449,Ke pasar beli balon udara \n Di tengah jalan balonnya meletus \n Betapa hati sangat gembira \n Nilai ujian dapat seratus,Pantun Anak-anak
450,"Di hutan ada banyak hewan melata \n Mulai dari ular, kadal dan buaya \n Ayo kawan-kawanku semua \n Kita main-main bersama-sama",Pantun Anak-anak
451,Burung merpati burung dara \n Terbang tinggi jauh melanglang \n Hati ini amat gembira \n Sebentar lagi ibu pulang,Pantun Anak-anak
452,Di kamar tidur teronggok cermin \n Cermin dipakai untuk berdandan \n Di tanah lapang kami bermain \n Bermain gundu juga layangan,Pantun Anak-anak
453,Jalan-jalan ke pasar raya \n Di pasar membeli keripik \n Hari libur telah tiba juga \n Saatnya tamasya dan piknik,Pantun Anak-anak
454,Buah nangka buah kedondong \n Rasanya enak bikin ketagihan \n Jadi anak janganlah berbohong \n Harus berkata jujur ke teman,Pantun Anak-anak
455,Burung dara terbang melanglang \n Hinggapnya di pucuk dedahanan \n Setiap kali ayah pulang \n Selalu bawa kebahagiaan,Pantun Anak-anak
456,Kalau hatimu sedang ragu \n Jangan lupa berdoa pada Tuhan \n Kalau punya teman yang baru \n Teman yang lama jangan dilupakan,Pantun Anak-anak
457,Pergi ke pasar membeli kain \n Kainnya bagus harganya murah \n Belajar itu harus tekun dan rajin \n Agar jadi pintar saat di sekolah,Pantun Anak-anak
458,Alangkah terang sinar mentari \n Tatkala aku tengah di teras \n Alangkah senang di hati ini \n Tatkala jadi juara kelas,Pantun Anak-anak
459,Pagi hari pergi ke kota \n Tidak lupa membawa tikar \n Main sama teman boleh saja \n Tapi jangan lupa untuk belajar,Pantun Anak-anak
460,Ayo kita pergi tamasya \n Bisa ke gunung atau ke pantai \n Ayo kita menyanyi bersama \n Biar suasana semakin ramai,Pantun Anak-anak
461,Pergi ke pasar membeli nampan \n Nampan terbuat dari anyaman \n Sebentar lagi kita liburan \n Ingin sekali ku jalan-jalan,Pantun Anak-anak
462,Satu tambah satu itu dua \n Dua tambah dua itu empat \n Jadi anak harus selalu ceria \n Tidak boleh sering mengumpat,Pantun Anak-anak
463,Minum kopi di saat hujan \n Memang nikmat sekali rasanya \n Anak baik anak teladan \n Jadi kebanggaan keluarga,Pantun Anak-anak
464,Pagi hari pergi ke kota \n Tidak lupa membeli kaca \n Naik delman siapa suka \n Kita pergi keliling desa,Pantun Anak-anak
465,Asap keluar dari cerobong \n Lalu terbang menuju awan \n Anak pintar tidak akan sombong \n Tapi senang membantu teman,Pantun Anak-anak
466,Indonesia dan negeri jiran \n Sama rasnya masih serumpun \n Main bola bareng teman-teman \n Paling enak saat hujan turun,Pantun Anak-anak
467,Pumpung induk belum tiba \n Burung elang terbang melayang \n Pumpung kita masih muda \n Ayo kita berpetualang,Pantun Anak-anak
468,Pergi ke sawah menanam padi \n Sawah dibajak dengan sapi \n Jadi anak yang baik hati \n Tentu tahu balas budi,Pantun Anak-anak
469,Siang hari mendung kelabu \n Pertanda hujan akan turun \n Ayah belikan sepeda baru \n Sebagai hadiah ulang tahun,Pantun Anak-anak
470,Di ladang banyak hewan ternak \n Kalau kabur harus dikejar \n Kita ini masih anak-anak \n Ayo kita main dan belajar,Pantun Anak-anak
471,Pagi hari ikut ke ladang \n Petani panen hati gembira \n Sore hari ke tanah lapang \n Bersama teman main bola,Pantun Anak-anak
472,Burung camar burung kenari \n Kepakkan sayap terbang ke udara \n Jadi anak yang baik hati \n Harus patuh pada orang tua,Pantun Anak-anak
473,Pergi ke pasar bersama ibu \n Tidak lupa membeli gula \n Bangun pagi di hari minggu \n Saatnya jalan bareng keluarga,Pantun Anak-anak
474,Disana merak disini merak  \n Merak mana hendak dikepung \n Disana hendak disinipun hendak \n Pening kepala terajang punggung,Pantun Jenaka
475,Diumpan merak dengan dedak  \n Hendak ditangkap dengan segera \n Di sana hendak di sinipun hendak \n Tepuk dada tanyakan selera,Pantun Jenaka
476,Bayan merbah merbuk dara  \n Terbang bebas hiasan angkasa \n Jangan salah tertepuk dada \n Badan terhempas mara bencana,Pantun Jenaka
477,Tuan puteri di atas puri  \n Dato hulubalang di atas padang \n Bila dinasihati dengar-dengari \n Bila bertepuk pandang-pandang,Pantun Jenaka
478,"Buah semangka buah manggis \n gak nyangka gue manis \n Ada gula, ada semut \n iihh gila, gue imut",Pantun Jenaka
479,Buah mangga rasanya manis  \n dibungkus rapat didalam peti \n Sayang walau wajah nya artis \n tapi gayanya macam hellokitty,Pantun Jenaka
480,Muter-muter cari jodoh \n sudah berkumis kepala petak \n Binatang apa paling bodoh \n kalu bukan kebu geger otak,Pantun Jenaka
481,Di sini jualan genteng  \n Di sana jualan sekoteng \n Banyak orang ngaku ganteng \n Padahal bopung,Pantun Jenaka
482,Oh bulan kemana bintang  \n Atas pucuk kayu ara \n Oh tuan kemana hilang \n Dalam bilik anak dara,Pantun Jenaka
483,Atas pucuk kayu ara  \n Lebat daunnya pokoknya rindang \n Hilang kedalam bilik nak dara \n Cuma meminta rokok sebatang,Pantun Jenaka
484,Nyari monyet buat makan kutu  \n jangan lupa bawa palu \n sekali lg lo bilang pantun lucu gak lucu \n gw tabok pala lu,Pantun Jenaka
485,Ditabur penawar merubah nasib  \n Nasib baik bukan sebarang \n Tafakur elang membaca ratib \n Melihat sitikus mengasah parang,Pantun Jenaka
486,Tumbuh kearah kolam telaga  \n Telaga mencuci badan yang melekit \n Walaupun marah tersenyum juga \n Tangan ketam cubitnya sakit,Pantun Jenaka
487,Ambilkan bilah pokok sena pj \n Jadikan lata tempat berhandai \n Andaikan gajah korek telinga \n Giliran buaya hajat berinai,Pantun Jenaka
488,Tanam pete dipinggir kali \n petenya lari ga tau diri \n Jangan misscall aja kalau berani \n telpon gue kalau punya nyali,Pantun Jenaka
489,Ikan sepat ikan bada  \n ikan keli di dalam rawa \n bnyak wanita bilang laki2 buaya \n tapi dia tak sadar kalau buaya ada yg betina,Pantun Jenaka
490,Janda berhias merambah karang  \n Sirih kuning disangka serai \n Melihat tikus mengasah parang \n Datang kucing meminta damai,Pantun Jenaka
491,Hari minggu sudahlah siang  \n Setelah siang menuju petang \n Ditunggu tunggu gak juga datang \n Sekali datang kok nagih utang,Pantun Jenaka
492,Jadikan lata tempat berhandai  \n Terbang sekawan burung belibis \n Giliran buaya hajat berinai \n Pipit pula membilang tasbih,Pantun Jenaka
493,Paling seger minum limau \n campur madu tambah nikmat \n Ayam berani sama harimau \n itu ayam super nekad,Pantun Jenaka
494,Si bopak memang sarap \n sukanya makan beras nasi \n dari jauh lo cakep \n dideketin ternyata banci,Pantun Jenaka
495,Jika sudah merasakan cinta  \n Hati terasa berbunga-bunga \n Kalau sudah terbawa suasana \n Senyum sendiri seperti orang gila,Pantun Jenaka
496,Masak ayam masak tumis  \n Iris tipis sampai habis \n Selasa malam hujan gerimis \n Dompet tipis semakin kritis,Pantun Jenaka
497,Beribu-ribu pedagang peyek  \n Hanya 1 pedagang skotang \n Beribu-ribu orang yang jelek \n Hanya aku yang paling ganteng,Pantun Jenaka
498,Lagi males bikin ketupat \n mending main bola sodok \n Nenek yang pandai melompat \n pasti itu nenek kodok,Pantun Jenaka
499,Anak ayam turun ke bumi \n Induk ayam naik kelangit \n Anak ayam nyari kelangit \n Induk ayam nyungsep ke bumi,Pantun Jenaka
500,"Di sana gunung di sini gunung \n di tengah-tengah bunga melati \n Saya bingung, kamu pun bingung \n kenapa ada bunga melati?",Pantun Jenaka
501,Buah pisang buah tomat  \n disimpan didalam lumbung padi \n pantas tercium bau menyengat \n rupanya kau belum mandi,Pantun Jenaka
502,Ambil segulung rotan saga  \n Sudah diambil mari diurut \n Duduk termenung harimau tua \n Melihat kambing mencabut janggut,Pantun Jenaka
503,Sirih kuning disangka serai  \n Dijemur panas daunnya kering \n Melihat kucing meminta damai \n Ayam memasak pulut kuning,Pantun Jenaka
504,Ikan gabus di rawa-rawa  \n Ikan belut nyangkut di jaring \n Perutku sakit menahan tawa \n Gigi palsu loncat ke piring,Pantun Jenaka
505,Ikan pedoh dari papua \n Belum dimakan letakkan baskom \n Bila jodoh nak kunjung bersua \n Pajang iklan di toko bagus dot com,Pantun Jenaka
506,Mancing di kali dapet banyak \n diambil kucing dalam tempayan \n TAHU pake huruf U jadi enak \n kalau pake huruf I jadi gak doyan,Pantun Jenaka
507,Pergi ke hutan mencari jerapah  \n Jangan lupa bawa palu \n sekali lagi lu bilang cius miapah \n gue tabok pala lu,Pantun Jenaka
508,Anak gembala tidak berbaju  \n membawa senjata ketapel getah \n sapi merumput anak berburu \n berburu burung si burung unta,Pantun Jenaka
509,Mau buka Facebook  \n harus pakai kata sandi \n Kamu bau ketek \n Karena jarang mandi,Pantun Jenaka
510,Kucing kurus mandi dipapan \n minta ikan dikasi kue cucur \n Gak salah dibilang muke jambang \n kalau cemberut tambah ancur,Pantun Jenaka
511,Makan belimbing dicampur terasi  \n bikin kelepon ditambah santan \n wajahnya aja kayak artis televisi \n tapi kelakuan seperti setan,Pantun Jenaka
512,Sudah diambil mari diurut  \n Diurut dibawah pokok sena \n Melihat kambing mencabut janggut \n Gajah pula mengorek telinga,Pantun Jenaka
513,Jalan-jalan ke pinggir empang  \n nemu sendok dipinggir empang \n hati siapa tak bimbang \n situ botak minta dikepang,Pantun Jenaka
514,Jalan-jalan ke Kota Arab  \n Jangan lupa membeli kitab \n Cewek sekarang tidak bisa diharap \n Bodi bohai betis berkurap,Pantun Jenaka
515,Eh ada semut \n Berdatangan masuk kolong \n Eh ada si Imuet \n Ternyata giginya ompong,Pantun Jenaka
516,Si anak bermain dalam kubangan  \n bersama sapi dan kambing domba \n enak sungguh gembala makan \n tiada diingat lumpur dimuka,Pantun Jenaka
517,Kalau ada sumur diladang  \n Bolehlah kita menggosok gigi \n Kalau anda di warung padang \n Bolehkah kita ditraktir lagi,Pantun Jenaka
518,"Disini Gunung, Disana gunung  \n Banyak amat yah gunungnya \n Disini bingung, Disana linglung \n Emangnya enak, engga nyambung",Pantun Jenaka
519,Gemuruh tabuh bukan kepalang  \n Diasah lembing berkilat-kilat \n Gementar tubuh harimau belang \n Nampak kambing pandai bersilat,Pantun Jenaka
520,Di kutub banyak es \n di neraka banyak setan \n Baju superman bertuliskan S \n Kalau XL pasti kebesaran,Pantun Jenaka
521,Hujan turun rintik-rintik  \n Duduk berdua diteras rumah \n Ingin punya cewek cantik \n Syaratnya rumah dan mobil mewah,Pantun Jenaka
522,Kalau ada sumur di ladang  \n boleh saya menumpang mandi \n siapa yang kuat begadang \n pasti payah  bangun pagi,Pantun Jenaka
523,Bakar ikan pakai bambu  \n Bungkus ikan pakai daun pisang baru \n Bukan maksud untuk mengganggu \n Cuma mau bilang ko badanmu bau,Pantun Jenaka
524,Angin malam mengusir senja \n Bintang timur memancar cahaya \n Rukun Islam adalah lima \n Sembahyang itu tiang agama,Pantun Agama
525,Anak udang di balik batu \n Jangan ditangkap dengan jala \n Dirikanlah sembahyang lima waktu \n Itu dia rukun kedua,Pantun Agama
526,Anak kelabang di atas batu \n Jatuh ke lumpur tiada merayap \n Sembahyang jangan menunda waktu \n Alam kubur sangatlah gelap,Pantun Agama
527,Para petani memanen padi \n Saat di sawah melihat batu \n Ingatlah Allah setiap hari \n Dengan sholat lima waktu,Pantun Agama
528,Pergi ke pasar membeli sapu \n Tidak sengaja menginjak duri \n Jangan lupa sholat lima waktu \n Di sela kegiatan sehari-hari,Pantun Agama
529,Ular kobra katanya berbisa \n Hari ini hari Selasa \n Ikhlaskan niat dalam puasa \n Moga terhapus segala dosa,Pantun Agama
530,Tanam kacang di pagi hari \n Tumbuh enam layu sebatang \n Keburukan orang jangan dicari \n Bila kalian sedang puasa,Pantun Agama
531,Buah nangka khas rasanya \n Buah duren banyak yang suka \n Sangat banyak hikmah puasa \n Sehatkan jiwa dan juga raga,Pantun Agama
532,Pipi bengkak jangan diraba \n Dikasih obat bias tidak terasa \n Bulan puasa sudah tiba \n Mohon ampun segala dosa,Pantun Agama
533,"Harum bunga, bunga melati \n Dipakai manten dan juga penari \n Sebentar atau lama pasti mati \n Puasa sebagai bekal bagi diri",Pantun Agama
534,Setelah menunaikan sholat \n Hati terasa sangat nyaman \n Muhammad itu rasul seluruh umat \n Dan Nabi hingga akhir zaman,Pantun Agama
535,Sholat itu adalah ibadah \n Ibadah yang mampu menghilangkan gundah \n Rindu kepada Nabi Muhammad adalah berkah \n Dan meneladaninya adalah ibadah terindah,Pantun Agama
536,Pergi ke pasar membeli tahu \n Jangan lupa membeli kwaci \n Jika kalian sudah mampu \n Segeralah menunaikan haji,Pantun Agama
537,Saat berenang bertemu ubur-ubur \n Janganlah engkau melempari tomat \n Jika Anda ingin jadi haji mabrur \n Rajinlah mengaji dan juga sholat,Pantun Agama
538,Buah semangka dibelah-belah \n Dapat sebagai pelepas dahaga \n Ikutilah firman Allah \n Supaya dapat masuk surga,Pantun Agama
539,Buah mentimun buah bergetah \n Hati-hati untuk memakannya \n Jika suka tinggalkan ibadah \n Sudah pasti masuk neraka,Pantun Agama
540,Jalan-jalan ke kota baru \n Jangan lupa beli sepatu \n Natal sudah didepan pintu \n Sambut kelahiran-Nya dengan hatimu,Pantun Agama
541,Siang hari ke pasar baru \n Mari kita membeli ragi \n Selamat natal dan tahun baru \n Semoga esok lebih baik lagi,Pantun Agama
542,Di meja banyak semut \n Mengerubungi buah leci \n Lebih baik kita menurut \n Jika kita ingin diberkati,Pantun Agama
543,Jalan-jalan menuju gurun \n Disana ada sebuah goa \n Hari petang mentari turun \n Yesus tersayang terkenang jua,Pantun Agama
544,Pulang sekolah berlari-lari \n Karena akan datangnya hujan \n Lakukan Tri Sandya tiga kali sehari \n Jangan pernah Anda lewatkan,Pantun Agama
545,Pergi ke kota beli bakpia \n Jangan lupa membeli nasi \n Kedamaian tiba ke dunia \n Tebarlah kasih dengan tat twam si,Pantun Agama
546,Jalan-jalan dengan Pak sopir \n Tidak lupa membeli kebawa \n Tubuh disucikan dengan air \n Pikiran disucikan dengan satya,Pantun Agama
547,Pergi jauh untuk berkelana \n Jangan lupa membawa peta \n Sang Hyang Widhi maha sempurna \n Kitab Weda panduan kita,Pantun Agama
548,Buah salak baru dipetik \n Buah dukuh buah delima \n Ada banyak wanita cantik \n Cuma kamu yang aku cinta,Pantun Cinta
549,Jalan-jalan ke kota Prancis \n Banyak rumah berbaris-baris \n biar mati di ujung keris \n Asal dapat adinda yang manis,Pantun Cinta
